DateTime,Players
30/11/2011,680
01/12/2011,
02/12/2011,
03/12/2011,
04/12/2011,
05/12/2011,
06/12/2011,
07/12/2011,
08/12/2011,
09/12/2011,
10/12/2011,
11/12/2011,
12/12/2011,
13/12/2011,
14/12/2011,
15/12/2011,
16/12/2011,
17/12/2011,
18/12/2011,
19/12/2011,
20/12/2011,
21/12/2011,
22/12/2011,
23/12/2011,
24/12/2011,
25/12/2011,
26/12/2011,
27/12/2011,
28/12/2011,
29/12/2011,
30/12/2011,
31/12/2011,
01/01/2012,
02/01/2012,
03/01/2012,
04/01/2012,
05/01/2012,
06/01/2012,
07/01/2012,
08/01/2012,
09/01/2012,
10/01/2012,
11/01/2012,
12/01/2012,
13/01/2012,
14/01/2012,
15/01/2012,
16/01/2012,
17/01/2012,
18/01/2012,
19/01/2012,
20/01/2012,
21/01/2012,
22/01/2012,
23/01/2012,
24/01/2012,
25/01/2012,
26/01/2012,
27/01/2012,
28/01/2012,
29/01/2012,
30/01/2012,
31/01/2012,
01/02/2012,
02/02/2012,
03/02/2012,
04/02/2012,
05/02/2012,
06/02/2012,
07/02/2012,
08/02/2012,
09/02/2012,
10/02/2012,
11/02/2012,
12/02/2012,
13/02/2012,
14/02/2012,
15/02/2012,
16/02/2012,
17/02/2012,
18/02/2012,
19/02/2012,
20/02/2012,
21/02/2012,
22/02/2012,
23/02/2012,
24/02/2012,
25/02/2012,
26/02/2012,
27/02/2012,
28/02/2012,204
29/02/2012,
01/03/2012,
02/03/2012,
03/03/2012,
04/03/2012,
05/03/2012,
06/03/2012,
07/03/2012,
08/03/2012,
09/03/2012,460
10/03/2012,
11/03/2012,
12/03/2012,
13/03/2012,
14/03/2012,
15/03/2012,
16/03/2012,728
17/03/2012,678
18/03/2012,570
19/03/2012,448
20/03/2012,225
21/03/2012,421
22/03/2012,653
23/03/2012,1035
24/03/2012,1081
25/03/2012,848
26/03/2012,700
27/03/2012,572
28/03/2012,537
29/03/2012,1263
30/03/2012,1238
31/03/2012,1041
01/04/2012,834
02/04/2012,674
03/04/2012,603
04/04/2012,539
05/04/2012,490
06/04/2012,
07/04/2012,
08/04/2012,
09/04/2012,
10/04/2012,
11/04/2012,
12/04/2012,
13/04/2012,1895
14/04/2012,1899
15/04/2012,1472
16/04/2012,1122
17/04/2012,903
18/04/2012,896
19/04/2012,793
20/04/2012,1027
21/04/2012,1135
22/04/2012,876
23/04/2012,742
24/04/2012,654
25/04/2012,620
26/04/2012,574
27/04/2012,1058
28/04/2012,1036
29/04/2012,927
30/04/2012,739
01/05/2012,657
02/05/2012,596
03/05/2012,586
04/05/2012,720
05/05/2012,716
06/05/2012,691
07/05/2012,562
08/05/2012,488
09/05/2012,450
10/05/2012,465
11/05/2012,1764
12/05/2012,1498
13/05/2012,1234
14/05/2012,950
15/05/2012,749
16/05/2012,663
17/05/2012,665
18/05/2012,1829
19/05/2012,1845
20/05/2012,1389
21/05/2012,2097
22/05/2012,1985
23/05/2012,1800
24/05/2012,1457
25/05/2012,1444
26/05/2012,1310
27/05/2012,1254
28/05/2012,1158
29/05/2012,1104
30/05/2012,1083
31/05/2012,968
01/06/2012,2919
02/06/2012,2732
03/06/2012,2329
04/06/2012,1987
05/06/2012,1736
06/06/2012,1619
07/06/2012,1549
08/06/2012,1381
09/06/2012,1342
10/06/2012,1282
11/06/2012,1302
12/06/2012,1219
13/06/2012,1289
14/06/2012,1147
15/06/2012,1173
16/06/2012,1194
17/06/2012,1129
18/06/2012,1096
19/06/2012,1078
20/06/2012,1228
21/06/2012,1169
22/06/2012,1359
23/06/2012,2167
24/06/2012,1440
25/06/2012,1392
26/06/2012,1232
27/06/2012,937
28/06/2012,1010
29/06/2012,1123
30/06/2012,1194
01/07/2012,1642
02/07/2012,1140
03/07/2012,1117
04/07/2012,1032
05/07/2012,992
06/07/2012,1870
07/07/2012,1883
08/07/2012,1883
09/07/2012,1674
10/07/2012,1501
11/07/2012,1437
12/07/2012,1972
13/07/2012,1969
14/07/2012,1882
15/07/2012,1804
16/07/2012,1666
17/07/2012,1623
18/07/2012,1543
19/07/2012,1504
20/07/2012,1395
21/07/2012,1528
22/07/2012,1451
23/07/2012,1328
24/07/2012,1315
25/07/2012,1238
26/07/2012,1155
27/07/2012,1248
28/07/2012,1473
